Layers,Nodes,Cpu_Time
3,350,0.447435
4,350,0.689066
5,350,1.230373
6,350,1.603741
7,350,2.029983
8,350,2.388747
9,350,2.742301
10,350,3.171328
11,350,3.516134
12,350,3.871240
13,350,4.241446
14,350,4.606779
15,350,4.968613
16,350,5.355968
2,360,0.207590
3,360,0.472204
4,360,0.825887
5,360,1.275978
6,360,1.711711
7,360,2.119835
8,360,2.551045
9,360,2.948590
10,360,3.286466
11,360,3.702626
12,360,4.092982
13,360,4.461467
14,360,4.859898
15,360,5.231725
16,360,5.634491
2,370,0.221430
3,370,0.485859
4,370,0.910814
5,370,1.356346
6,370,1.851844
7,370,2.251285
8,370,2.695323
9,370,3.102328
10,370,3.558305
11,370,3.940276
12,370,4.371466
13,370,4.807986
14,370,5.228179
15,370,5.590367
16,370,5.972574
2,380,0.243000
3,380,0.530180
4,380,0.968897
5,380,1.424591
6,380,1.907433
7,380,2.371242
8,380,2.841737
9,380,3.297298
10,380,3.735263
11,380,4.170365
12,380,4.572946
13,380,5.035816
14,380,5.485289
15,380,5.944348
16,380,6.389256
2,390,0.251307
3,390,0.563199
4,390,1.136423
5,390,1.615797
6,390,2.077445
7,390,2.619830
8,390,3.037742
9,390,3.580970
10,390,3.978543
11,390,4.409698
12,390,4.849980
13,390,5.341464
14,390,5.814042
15,390,6.278849
16,390,6.708343
2,400,0.279109
3,400,0.595628
4,400,1.127234
5,400,1.703748
6,400,2.195475
7,400,2.675951
8,400,3.161849
9,400,3.621226
10,400,4.144170
11,400,4.588215
12,400,5.085540
13,400,5.560202
14,400,6.014614
15,400,6.510922
16,400,6.981358
2,410,0.281011
3,410,0.668138
4,410,1.251276
5,410,1.854185
6,410,2.312829
7,410,2.817216
8,410,3.351504
9,410,3.825936
10,410,4.338315
11,410,4.860013
12,410,5.336801
13,410,5.849847
14,410,6.356134
15,410,6.874248
16,410,7.393400
2,420,0.303155
3,420,0.716475
4,420,1.346174
5,420,1.863062
6,420,2.440876
7,420,3.023843
8,420,3.516868
9,420,4.095212
10,420,4.596354
11,420,5.148722
12,420,5.658309
13,420,6.147814
14,420,6.746343
15,420,7.250877
16,420,7.748777
2,430,0.323414
3,430,0.790095
4,430,1.387975
5,430,2.030589
6,430,2.627731
7,430,3.186786
8,430,3.739541
9,430,4.300628
10,430,4.820740
11,430,5.408167
12,430,5.937293
13,430,6.486370
14,430,7.065934
15,430,7.585944
16,430,8.183851
2,440,0.333738
3,440,0.881293
4,440,1.518964
5,440,2.090642
6,440,2.707786
7,440,3.338120
8,440,3.895467
9,440,4.490729
10,440,5.058792
11,440,5.686367
12,440,6.241202
13,440,6.838449
14,440,7.440738
15,440,8.036132
16,440,8.599258
2,450,0.360573
3,450,0.928662
4,450,1.581936
5,450,2.241355
6,450,2.823867
7,450,3.457942
8,450,4.088608
9,450,4.652859
10,450,5.367981
11,450,5.869353
12,450,6.454171
13,450,7.084580
14,450,7.664226
15,450,14.074307
16,450,8.842105
2,460,0.369501
3,460,0.970607
4,460,1.653570
5,460,2.318761
6,460,3.525053
7,460,4.631345
8,460,5.008973
9,460,5.063949
10,460,5.506406
11,460,6.139773
12,460,6.761569
13,460,7.392199
14,460,8.004928
15,460,8.636698
16,460,9.244470
2,470,0.394724
3,470,0.933878
4,470,1.780413
5,470,2.482787
6,470,3.175734
7,470,4.374389
8,470,4.712258
9,470,5.173572
10,470,5.861664
11,470,6.521673
12,470,7.649796
13,470,7.875495
14,470,8.505332
15,470,9.125297
16,470,9.834492
2,480,0.413024
3,480,1.105595
4,480,1.806175
5,480,3.461350
6,480,3.327152
7,480,4.001308
8,480,4.680335
9,480,9.433943
10,480,7.751219
11,480,8.190830
12,480,7.510300
13,480,8.238693
14,480,8.901606
15,480,9.584689
16,480,10.271109
2,490,0.438331
3,490,1.115007
4,490,1.968307
5,490,2.704102
6,490,3.447827
7,490,4.191404
8,490,4.888774
9,490,5.837403
10,490,6.830488
11,490,7.078280
12,490,7.771907
13,490,8.485312
14,490,9.213277
15,490,9.948281
16,490,10.665504
2,500,0.452024
3,500,1.224126
4,500,2.088505
5,500,2.851598
6,500,3.602888
7,500,4.347384
8,500,5.111642
9,500,5.881629
10,500,6.668888
11,500,7.353990
12,500,8.134229
13,500,8.886603
14,500,9.660378
15,500,10.420024
16,500,11.913719
2,510,1.053306
3,510,1.340949
4,510,2.175657
5,510,2.980756
6,510,3.775880
7,510,4.561123
8,510,5.349037
9,510,6.109220
10,510,6.919941
11,510,7.734444
12,510,8.444759
13,510,9.285414
14,510,10.104140
15,510,11.775472
16,510,11.636147
2,520,0.504185
3,520,1.406657
4,520,2.290851
5,520,3.108851
6,520,3.950565
7,520,4.740058
8,520,5.551996
9,520,6.416019
10,520,7.190021
11,520,8.075434
12,520,8.938277
13,520,9.717450
14,520,10.498961
15,520,11.302093
16,520,12.146524
2,530,0.522649
3,530,1.497838
4,530,2.420995
5,530,3.268003
6,530,4.106748
7,530,4.987965
8,530,5.839200
9,530,6.684855
10,530,7.539870
11,530,8.360220
12,530,9.250408
13,530,10.048949
14,530,10.917644
15,530,11.783661
16,530,12.632115
2,540,0.541610
3,540,1.554170
4,540,2.491858
5,540,3.371894
6,540,4.248890
7,540,5.108383
8,540,6.010670
9,540,6.920509
10,540,7.785581
11,540,8.649781
12,540,9.562857
13,540,10.456599
14,540,11.388134
15,540,12.236333
16,540,13.085260
2,550,0.595250
3,550,1.581221
4,550,2.572791
5,550,3.485126
6,550,4.425806
7,550,5.306970
8,550,6.227551
9,550,7.123036
10,550,8.047217
11,550,8.982459
12,550,9.896043
13,550,10.803946
14,550,11.793649
15,550,12.642410
16,550,13.573889
2,560,0.598694
3,560,1.691367
4,560,2.701983
5,560,3.663187
6,560,4.581769
7,560,5.575388
8,560,6.512862
9,560,7.462491
10,560,8.421658
11,560,9.316901
12,560,10.261421
13,560,11.245038
14,560,12.160235
15,560,13.137009
16,560,14.119435
2,570,0.598827
3,570,1.761012
4,570,2.853638
5,570,3.785838
6,570,4.802297
7,570,5.794206
8,570,6.775150
9,570,7.732253
10,570,8.718422
11,570,9.719390
12,570,10.718385
13,570,11.660941
14,570,12.624160
15,570,13.626452
16,570,14.613653
2,580,0.681254
3,580,1.849926
4,580,2.897346
5,580,3.931089
6,580,4.974044
7,580,5.948636
8,580,6.982518
9,580,8.023003
10,580,9.034881
11,580,10.043249
12,580,11.065224
13,580,12.036833
14,580,13.081673
15,580,14.127900
16,580,15.139256
2,590,0.675466
3,590,1.949501
4,590,3.020122
5,590,4.039105
6,590,5.129751
7,590,6.175239
8,590,7.213063
9,590,8.287381
10,590,9.345986
11,590,10.419097
12,590,11.416321
13,590,12.524038
14,590,13.576568
15,590,16.990483
16,590,16.904690
2,600,0.744173
3,600,1.966557
4,600,3.149486
5,600,4.244088
6,600,5.313548
7,600,6.417915
8,600,7.503939
9,600,8.594809
10,600,9.681549
11,600,10.768410
12,600,11.887781
13,600,12.937190
14,600,14.039656
15,600,15.124126
16,600,16.244025
2,610,0.767975
3,610,2.104939
4,610,3.232508
5,610,4.383563
6,610,5.510495
7,610,6.632819
8,610,7.753120
9,610,8.866646
10,610,9.998845
11,610,11.105589
12,610,12.250318
13,610,13.407273
14,610,14.552780
15,610,17.689881
16,610,16.764588
2,620,0.914957
3,620,2.205499
4,620,3.375347
5,620,4.563087
6,620,5.712290
7,620,6.868971
8,620,8.130515
9,620,9.170368
10,620,10.369702
11,620,11.540731
12,620,12.665316
13,620,13.866240
14,620,15.069550
15,620,16.208851
16,620,17.340163
2,630,0.909748
3,630,2.223539
4,630,3.471138
5,630,4.698343
6,630,5.915528
7,630,7.101379
8,630,8.314502
9,630,9.501686
10,630,10.703533
11,630,11.919151
12,630,13.110133
13,630,14.350239
14,630,15.506458
15,630,16.720546
16,630,17.913870
2,640,0.948337
3,640,2.359211
4,640,3.585700
5,640,4.827070
6,640,6.051358
7,640,7.344592
8,640,8.556570
9,640,9.846420
10,640,11.069311
11,640,12.320746
12,640,13.566226
13,640,14.804070
14,640,16.019939
15,640,17.305065
16,640,18.456990
2,650,0.959064
3,650,2.430081
4,650,3.741103
5,650,4.989738
6,650,6.267373
7,650,7.573040
8,650,8.843603
9,650,10.153399
10,650,11.449710
11,650,12.686304
12,650,14.003418
13,650,15.232765
14,650,16.499639
15,650,17.773579
16,650,19.061665
2,660,1.080012
3,660,2.522537
4,660,3.842876
5,660,5.144389
6,660,6.457982
7,660,7.815779
8,660,9.134279
9,660,10.481848
10,660,11.764042
11,660,13.077887
12,660,14.400788
13,660,15.700614
14,660,17.030163
15,660,18.403141
16,660,19.652371
2,670,1.004533
3,670,2.579339
4,670,3.979241
5,670,5.309795
6,670,6.676118
7,670,8.001685
8,670,9.372972
9,670,10.801696
10,670,12.114145
11,670,13.489676
12,670,14.807270
13,670,16.193724
14,670,17.564121
15,670,18.868877
16,670,21.513720
2,680,1.166324
3,680,2.718084
4,680,4.129306
5,680,5.535521
6,680,6.961528
7,680,8.371587
8,680,9.796844
9,680,11.209622
10,680,12.620660
11,680,13.988334
12,680,15.389078
13,680,16.721305
14,680,18.140897
15,680,19.477752
16,680,22.271471
2,690,1.228244
3,690,2.778141
4,690,4.237982
5,690,5.677607
6,690,7.112318
7,690,8.592949
8,690,10.039816
9,690,11.457589
10,690,12.993256
11,690,15.470177
12,690,16.590887
13,690,19.317919
14,690,18.781908
15,690,20.153761
16,690,22.206695
2,700,1.268524
3,700,2.874569
4,700,4.369429
5,700,5.860088
6,700,7.313600
7,700,8.844793
8,700,10.291395
9,700,11.784466
10,700,13.327062
11,700,14.786000
12,700,16.261624
13,700,17.709370
14,700,19.179731
15,700,20.666516
16,700,22.139462
