Layers,Nodes,Gpu_Time
13,420,0.020274
14,420,0.021974
15,420,0.023531
16,420,0.025183
2,430,0.002480
3,430,0.004142
4,430,0.005799
5,430,0.007459
6,430,0.009213
7,430,0.010768
8,430,0.012421
9,430,0.013783
10,430,0.015367
11,430,0.017100
12,430,0.018599
13,430,0.020249
14,430,0.021864
15,430,0.023485
16,430,0.025094
2,440,0.002567
3,440,0.004193
4,440,0.005866
5,440,0.007534
6,440,0.009205
7,440,0.010885
8,440,0.012553
9,440,0.014274
10,440,0.015914
11,440,0.017673
12,440,0.019294
13,440,0.020935
14,440,0.022611
15,440,0.024417
16,440,0.026088
2,450,0.002684
3,450,0.004495
4,450,0.006307
5,450,0.008114
6,450,0.009939
7,450,0.011733
8,450,0.013567
9,450,0.015327
10,450,0.017138
11,450,0.018968
12,450,0.020770
13,450,0.022567
14,450,0.024916
15,450,0.026789
16,450,0.028640
2,460,0.002800
3,460,0.004740
4,460,0.006822
5,460,0.008683
6,460,0.010627
7,460,0.012656
8,460,0.014568
9,460,0.016449
10,460,0.018384
11,460,0.020324
12,460,0.022637
13,460,0.024868
14,460,0.026765
15,460,0.028771
16,460,0.030735
2,470,0.002995
3,470,0.005024
4,470,0.007069
5,470,0.009094
6,470,0.011106
7,470,0.013181
8,470,0.015157
9,470,0.017642
10,470,0.019705
11,470,0.021802
12,470,0.023993
13,470,0.025942
14,470,0.028012
15,470,0.028653
16,470,0.030642
2,480,0.003011
3,480,0.005065
4,480,0.007099
5,480,0.009138
6,480,0.011209
7,480,0.013224
8,480,0.015280
9,480,0.017305
10,480,0.019415
11,480,0.021393
12,480,0.023492
13,480,0.025544
14,480,0.027626
15,480,0.029578
16,480,0.031763
2,490,0.003293
3,490,0.005549
4,490,0.007788
5,490,0.010077
6,490,0.012286
7,490,0.014136
8,490,0.015686
9,490,0.017751
10,490,0.019858
11,490,0.021930
12,490,0.024060
13,490,0.026140
14,490,0.028206
15,490,0.030469
16,490,0.032496
2,500,0.003129
3,500,0.005274
4,500,0.007414
5,500,0.009551
6,500,0.011689
7,500,0.013853
8,500,0.015974
9,500,0.018109
10,500,0.020298
11,500,0.022424
12,500,0.024569
13,500,0.026816
14,500,0.028908
15,500,0.030965
16,500,0.033252
2,510,0.003194
3,510,0.005391
4,510,0.007578
5,510,0.009767
6,510,0.011945
7,510,0.014163
8,510,0.016339
9,510,0.018602
10,510,0.020897
11,510,0.023431
12,510,0.025654
13,510,0.028539
14,510,0.030937
15,510,0.033120
16,510,0.035491
2,520,0.003511
3,520,0.006037
4,520,0.008352
5,520,0.010741
6,520,0.013169
7,520,0.015576
8,520,0.018012
9,520,0.020367
10,520,0.022777
11,520,0.025796
12,520,0.028326
13,520,0.031525
14,520,0.034059
15,520,0.036563
16,520,0.039093
2,530,0.003965
3,530,0.006763
4,530,0.009430
5,530,0.012284
6,530,0.014915
7,530,0.017606
8,530,0.020319
9,530,0.023089
10,530,0.025943
11,530,0.028529
